store_name,Overall_Rating,name,Rating,text,publishedAtDate
Shell 289 Merton Rd London SW18 5JS,3.4,Neil McKirdy-Deadman,3,"Gets quite busy often and you end waiting for ages, queue backs into road!",2010-12-05T20:12:00.308Z
Shell 289 Merton Rd London SW18 5JS,3.4,Modi Elnadi,4,Usually less expensive fuel. The draw back is it gets cluttered and one pump only has expensive super diesel. But you'll save few pounds for a full tank.,2011-01-15T16:58:16.490Z
Shell 134 West Hill London SW15 2UE,3.6,Niclas Åberg,1,"What a place! If i were to pick my favourite service station, this would be it.",2011-05-01T21:40:23.273Z
Shell 134 West Hill London SW15 2UE,3.6,Dan J,1,Not even a Texaco ffs,2011-08-11T04:38:45.296Z
Shell 106 Old Brompton Rd South Kensington London SW7 3RA,3.4,Myles Coker,5,"Shell are best

Quality fuel, provided cheaper than competitors",2012-03-23T15:11:40.946Z
Shell 209 High St West Drayton UB7 7QP,3.2,Tony Hakanson,2,I paid for a car wash and the machine did not spray any foam nor dry my car after the wash. Went back into the station  told the assistant at the counter that their machine might be mulfunction and I should get a refund or a replacement ticket for the next time. He refused do to so and advice me to contact his manager at the number given on the receipt. Called that number it was the same person I spoken to at the station.  I end up contacting the Shell main office in Manchester  to get my case opened.,2012-08-03T15:53:47.805Z
Shell 445-453 Wick Ln Bow London E3 2TB,3.3,TK 421,4,Cheapest place in east for fuel. But very busy with waits up to more then 10mins+,2012-08-23T22:33:15.368Z
Shell 101-103 Southwark Bridge Rd London SE1 1ES,3.6,Vassil Tzokov,3,Toilet never woorks,2012-10-20T14:06:15.892Z
Shell 30 The Vale London W3 7RS,3.6,jose kupersmitt,3,CAR WASHING FACILITIES,2013-01-08T04:43:43.908Z
Shell 276 Upper St London N1 2TZ,3.7,David Pratt,2,"On 9/11 the staff were openly jubilant about the attack on ""the great satan"" I have not been there since nor will I ever go there again.",2013-02-22T01:44:48.090Z
Shell B466 55 High Rd Ickenham Uxbridge UB10 8LF,3,Ross Ellman,2,"motorcycles only allowed to use one pump (when asked why - ""management decision""), even when rest of station empty - staff barely speak any english and arre arrogant and rude. avoid if possible, theres another a mile away that is cheaper too. if I could rate it lower I would.",2013-04-26T17:25:05.279Z
Shell 198-208 Old St London EC1V 9BP,3.5,Bee #,4,Usually good competitive petrol prices. Black cab drivers fill up here.,2013-07-17T20:12:09.056Z
Shell Elstree Way Borehamwood WD6 1LB,3.4,俞樂,4,正好在ibis hotel旁边,2013-07-29T05:36:18.106Z
Shell 29-31 Hanger Ln London W5 3HJ,3.4,Jeyan Sharma,5,friendly staff,2013-10-10T22:58:05.309Z
Shell Worple Rd Raynes Park London SW20 8RE,3.5,Alex Mie (Safe Removals),1,"Very rude people working at this station, they do not want to help and overheard them saying racist comments.",2013-10-11T10:54:11.252Z
Shell 21 Pinner Grn Pinner HA5 2AF,3.7,Cafu Mukoya,5,Good,2014-01-11T17:19:07.106Z
Shell 198-208 Old St London EC1V 9BP,3.5,صباح جهلول,5,يخبل وعلي محمد الدراجي,2014-05-28T08:54:27.307Z
Shell 75 Balham Hill London SW12 9DP,3.2,Gaurav Rege,4,Excellent pay at pump service saves everybody time,2014-05-30T13:16:35.470Z
Shell Ebury St London SW1W 9QJ,2.8,Rutox,1,Disgusting place.ants in the coffee machine!!!,2014-07-13T17:30:38.201Z
Shell 276 Upper St London N1 2TZ,3.7,Wai Poon,2,Pretty crap service. There is always only one guy on the till and the other seems to do nothing,2014-07-27T16:57:26.336Z
Shell 276 Upper St London N1 2TZ,3.7,Channi Singh,1,Never have diesel in,2014-10-07T19:06:36.651Z
Shell 148-150 Green Lanes London N13 5UN,4.2,Kambole simpungwe,5,I come here for petrol.,2014-10-27T19:31:45.922Z
Shell 30 The Vale London W3 7RS,3.6,Claudiu C,5,Nitro,2014-11-12T09:09:44.227Z
Shell 101-103 Southwark Bridge Rd London SE1 1ES,3.6,Khalid Muhammed,5,Very friendly staff me and my work colleagues use this pump and have never had a problem the staff are always very curtious and friendly,2014-11-17T08:46:17.413Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,Cathy Twigg,5,"Excellent service from the guys. Service, MOT, repairs, would always trust them to do a good job.",2014-12-05T22:25:04.028Z
Shell 223 Harrow Rd London W2 5EH,3.7,George Tarawal,5,Great app,2014-12-31T17:32:27.597Z
Shell 21 Pinner Grn Pinner HA5 2AF,3.7,vikash sachdev,5,Good petrol v power,2015-01-28T23:32:19.956Z
Shell 165 Shooters Hill Rd London SE3 8UQ,4,Matt Buckwell,1,Not very nice people. costa machine closed at night when most drivers will prob need a coffee. and just rude. wont stop here again unless i have too,2015-01-29T04:10:39.551Z
Shell 123-127 Portland Rd London SE25 4UX,3.6,ARFAN AHMAD,5,GOOD SERVICE..CHEAP PRICE,2015-02-27T06:33:52.966Z
Shell N Orbital Rd Denham Uxbridge UB9 5EY,3.4,Raivndran Rajeendran,5,Good brand new station 👍👍,2015-02-27T10:53:44.450Z
Shell 106 Old Brompton Rd South Kensington London SW7 3RA,3.4,Tahir mahmood,3,No toulets.,2015-03-15T15:35:20.924Z
Shell 262 York Rd London SW18 1TP,3.5,Tahir mahmood,5,They have toilets.,2015-03-15T15:37:49.849Z
Shell 148-150 Green Lanes London N13 5UN,4.2,marian chitimus,5,best one,2015-03-23T07:39:52.756Z
Shell 445-453 Wick Ln Bow London E3 2TB,3.3,Hira Miah,5,I'm a minicab driver and a Uber driver and on a regular basis I need to fuel my car and it's really helpful that there is shell only less than a mile from where i live plus another bonus is the price is fairly cheap for quality fuel,2015-03-28T09:51:00.488Z
